,row,Species,RPM,adjustedRPM,microbial %,Hits,Truth,Run,RPMThreshold,sampleType,cycles,organism,total reads,dilution factor,nanodrop,colonies
0,175,Enterococcus faecium,57.08367651,20.18212738,0.777777778,35,TP,BF4miseq,2.079890176,CSF,8.5,Bacteria,613135,1,,Enrichment Broth
0,181,Staphylococcus aureus,1.873154583,5.29808123,0.481481481,13,TP,BF15hiseqPE,2.079890176,Abscess,5.5,Bacteria,6940164,250,738.4,Numerous
0,181,Escherichia coli,0,0,0,0,FN,BF15hiseqPE,2.079890176,Abscess,5.5,Bacteria,6940164,250,738.4,Numerous
0,185,Staphylococcus aureus,0,0,0,0,FN,BF15hiseqPE,2.079890176,Pleural Fluid,4.5,Bacteria,8075582,83.33333333,442.4,Few
0,198,Enterococcus faecium,1.346429807,7.616557174,0.160714286,9,TP,BF15hiseqPE,2.079890176,Pleural Fluid,4.5,Bacteria,6684344,83.33333333,587.8,Moderate
0,208,Escherichia coli,456.5328262,1826.131305,0.684684685,4636,TP,BF15hiseqPE,2.079890176,Abscess,5,Bacteria,10154801,500,4984,Numerous
0,256,Enterobacter cloacae,60.83143837,344.1145807,0.624082232,425,TP,BF15hiseqPE,2.079890176,Abscess,4.5,Bacteria,6986519,50,205,Few
0,262,Staphylococcus aureus,48.77336948,195.0934779,0.766528926,371,TP,BF15hiseqPE,2.079890176,Joint Fluid,5,Bacteria,7606610,83.33333333,388,Moderate
0,264,Klebsiella pneumoniae,204.8422937,18.10567187,0.818297332,644,TP,BF15hiseqPE,2.079890176,Pleural fluid,10.5,Bacteria,3143882,12.5,,Negative
0,278,Staphylococcus aureus,13.34644634,26.69289267,0.738095238,93,TP,BF15hiseqPE,2.079890176,Abscess,6,Bacteria,6968147,250,1620,Numerous
0,285,Streptococcus constellatus,38.44092164,217.4546909,0.434482759,252,TP,BF15hiseqPE,2.079890176,Pleural Fluid,4.5,Bacteria,6555514,83.33333333,229,Moderate
0,285,Streptococcus anginosus,11.44075049,32.10045438,0.129310345,75,TP,BF15hiseqPE,2.079890176,Pleural Fluid,4.5,Bacteria,6555514,83.33333333,229,Moderate
0,285,Streptococcus intermedius,10.98312047,29.51170806,0.124137931,72,TP,BF15hiseqPE,2.079890176,Pleural Fluid,4.5,Bacteria,6555514,83.33333333,229,Moderate
0,294,Staphylococcus aureus,3.074324484,12.29729794,0.705882353,24,TP,BF15hiseqPE,2.079890176,Abscess,5,Bacteria,7806593,62.5,583.7,Negative
0,302,Enterococcus faecium,921.5362597,1843.072519,0.353841772,4969,TP,BF15hiseqPE,2.079890176,Perihepatic Fluid,6,Bacteria,5392083,51.28205128,58.5,Numerous
0,302,Enterococcus faecalis,277.4438005,278.426723,0.106529944,1496,TP,BF15hiseqPE,2.079890176,Perihepatic Fluid,6,Bacteria,5392083,51.28205128,58.5,Numerous
0,307,Staphylococcus aureus,6.34344526,25.37378104,0.859649123,49,TP,BF15hiseqPE,2.079890176,Abscess,5,Bacteria,7724509,250,2474,Numerous
0,308,Staphylococcus aureus,0.226764106,0.320692874,0.042553191,2,FN,BF15hiseqPE,2.079890176,Joint Fluid,6.5,Bacteria,8819738,8.333333333,,Enrichment Broth
0,322,Streptococcus pyogenes,66.23129289,132.4625858,0.750814332,461,TP,BF20dBF21bc_part1ed2,2.079890176,Pleural Fluid,6,Bacteria,6960456,50,1851.1,Negative
0,326,Staphylococcus aureus,32.13097027,45.44005392,0.834532374,232,TP,BF15hiseqPE,2.079890176,Joint Fluid,6.5,Bacteria,7220448,12.5,50.3,Moderate
0,329,Staphylococcus aureus,3.131687309,6.263374618,0.523809524,22,TP,BF15hiseqPE,2.079890176,Abscess,6,Bacteria,7024967,250,2599,Few
0,335,Staphylococcus aureus,17.81947655,71.27790621,0.75862069,132,TP,BF15hiseqPE,2.079890176,Abscess,5,Bacteria,7407625,50,440,Few
0,339,Staphylococcus aureus,60.6727585,30.33637925,0.729779412,397,TP,BF15hiseqPE,2.079890176,Joint Fluid,8,Bacteria,6543299,83.33333333,299,Numerous
0,340,Klebsiella pneumoniae,224.428383,1269.558652,0.373614663,1753,TP,BF15hiseqPE,2.079890176,Peritoneal Fluid,4.5,Bacteria,7810955,250,1334,Numerous
0,340,Escherichia coli,212.394003,1138.003986,0.353580563,1659,TP,BF15hiseqPE,2.079890176,Peritoneal Fluid,4.5,Bacteria,7810955,250,1334,Numerous
0,341,Staphylococcus aureus,0,0,0,0,FN,BF15hiseqPE,2.079890176,Abscess,11.5,Bacteria,2627373,8.333333333,,Few
0,343,Enterococcus faecium,1169.894349,584.9471746,0.750555803,5064,TP,BF15hiseqPE,2.079890176,Swab,8,Bacteria,4328596,10,,Few
0,344,Klebsiella pneumoniae,62.14721533,2.746544837,0.603383459,321,TP,BF15hiseqPE,2.079890176,Joint Fluid,11.5,Bacteria,5165155,5,,Negative
0,344,Escherichia coli,14.71398245,0.512945056,0.142857143,76,FN,BF15hiseqPE,2.079890176,Joint Fluid,11.5,Bacteria,5165155,5,,Numerous
0,352,Staphylococcus aureus,9.712203463,19.42440693,0.51048951,73,TP,BF15hiseqPE,2.079890176,Joint Fluid,6,Bacteria,7516317,83.33333333,571.6,Enrichment Broth
0,358,Citrobacter freundii,43.18560486,172.7424195,0.412395709,346,TP,BF15hiseqPE,2.079890176,Abscess,5,Bacteria,8011929,250,1176.4,Numerous
0,358,Klebsiella pneumoniae,17.47394417,61.25865569,0.166865316,140,TP,BF15hiseqPE,2.079890176,Abscess,5,Bacteria,8011929,250,1176.4,Numerous
0,359,Escherichia coli,478.0049929,2704.004575,0.631665637,3068,TP,BF15hiseqPE,2.079890176,Subgaleal Fluid,4.5,Bacteria,6418343,166.6666667,613.5,Moderate
0,361,Staphylococcus aureus,3.994454468,0.998613617,0.490566038,26,FN,BF15hiseqPE,2.079890176,Joint Fluid,9,Bacteria,6509024,83.33333333,244.6,Numerous
0,363,Klebsiella pneumoniae,963.2015936,2724.345514,0.515384106,7789,TP,BF15hiseqPE,2.079890176,Peritoneal Fluid,5.5,Bacteria,8086573,125,511.3,Few
0,367,Klebsiella pneumoniae,39.55734433,3.496408302,0.382608696,176,TP,BF15hiseqPE,2.079890176,Peritoneal Fluid,10.5,Bacteria,4449237,6.25,,Negative
0,367,Enterococcus faecium,3.146606935,0.278123388,0.030434783,14,FN,BF15hiseqPE,2.079890176,Peritoneal Fluid,10.5,Bacteria,4449237,6.25,,Enrichment Broth
0,384,Pseudomonas aeruginosa,5182.685771,1832.356127,0.811160026,36851,TP,BF15hiseqPE,2.079890176,Peritoneal Fluid,8.5,Bacteria,7110406,250,1013,Moderate
0,384,Staphylococcus epidermidis,32.76887424,11.58554659,0.00512877,233,TP,BF15hiseqPE,2.079890176,Peritoneal Fluid,8.5,Bacteria,7110406,250,1013,Negative
0,386,Pseudomonas aeruginosa,552.7505425,1563.414628,0.974043716,3565,TP,BF15hiseqPE,2.079890176,Pleural Fluid,5.5,Bacteria,6449564,12.5,101.9,Numerous
0,395,Staphylococcus lugdunensis,41.35655699,14.62175095,0.916666667,187,TP,BF15hiseqPE,2.079890176,Joint Fluid,8.5,Bacteria,4521653,1.923076923,,Rare
0,398,Escherichia coli,2310.661756,204.2355746,0.590602112,12418,TP,BF15hiseqPE,2.079890176,Urine,10.5,Bacteria,5374218,4.166666667,,Numerous
0,401,Staphylococcus lugdunensis,9.5713722,0.422998887,0.776470588,66,FN,BF15hiseqPE,2.079890176,Joint Fluid,11.5,Bacteria,6895563,50,213,Rare
0,413,Mycobacterium tuberculosis,2.409410192,6.814841143,0.363636364,12,TP,BF15hiseqPE,2.079890176,Abscess,5.5,Bacteria,4980472,312.5,3655.2,Negative
0,414,Staphylococcus aureus,35.75249471,35.75249471,0.713947991,302,TP,BF15hiseqPE,2.079890176,Joint Fluid,7,Bacteria,8446963,50,211.2,Numerous
0,418,Staphylococcus aureus,1031.273343,5.697034172,0.874281609,2434,TP,BF15hiseqPE,2.079890176,Abscess,14.5,Bacteria,2360189,50,242.6,Numerous
0,421,Staphylococcus aureus,1528.389529,6113.558118,0.92560233,6992,TP,BF15hiseqPE,2.079890176,Fluid Anterior Mediastinal,5,Bacteria,4574750,16.66666667,77.6,Moderate
0,422,Enterococcus faecalis,249.2025455,1409.702479,0.443020904,1971,TP,BF15hiseqPE,2.079890176,Peritoneal Fluid,4.5,Bacteria,7909229,25,110.7,Negative
0,422,Escherichia coli,22.50535419,127.3095085,0.040008991,178,TP,BF15hiseqPE,2.079890176,Peritoneal Fluid,4.5,Bacteria,7909229,25,110.7,Negative
0,422,Staphylococcus aureus,11.50554624,65.08519815,0.020454035,91,TP,BF15hiseqPE,2.079890176,Peritoneal Fluid,4.5,Bacteria,7909229,25,110.7,Rare
0,427,Streptococcus mitis group,103.4888476,146.3553319,0.832684825,642,TP,BF15hiseqPE,2.079890176,Abscess,6.5,Bacteria,6203567,50,151.9,Few
0,435,Escherichia coli,4090.53129,361.5553017,0.683686813,33461,TP,BF15hiseqPE,2.079890176,Peritoneal Fluid,10.5,Bacteria,8180111,83.33333333,308.5,Numerous
0,453,Escherichia coli,6325.455094,559.0965239,0.621075777,15253,TP,BF15hiseqPE_rerun_part2,2.079890176,Urine,10.5,Bacteria,2411368,1.041666667,,Numerous
0,485,Streptococcus pyogenes,110.3612907,220.7225813,0.644150418,925,TP,BF15hiseqPE_rerun_part2,2.079890176,Wound swab,6,Bacteria,8381562,8.333333333,,Numerous
0,507,Staphylococcus aureus,75.02597726,1.65785554,0.272855796,579,FN,BF19hiseq,2.079890176,Fluid left heel in CTM,12.5,Bacteria,7717327,1,274.8,Few
0,509,Bartonella henselae,0.847616735,2.397422164,0.130434783,6,TP,BF20dBF21bc_part2ed3,2.079890176,Abscess,5.5,Bacteria,7078671,6.25,,Negative
0,546,Streptococcus pyogenes,3.196582435,3.196582435,0.227748691,87,TP,BF17hiseq,2.079890176,Abscess,7,Bacteria,27216567,1250,,Enrichment Broth
0,_93,Streptococcus agalactiae,125.8289725,355.8980789,0.912797282,806,TP,BF15hiseqPE_rerun_part2,2.079890176,Joint Fluid,5.5,Bacteria,6405520,83.33333333,442,Few
0,BF324,Escherichia coli,96.78913565,387.1565426,0.311111111,42,TP,BF9miseq,2.079890176,Abscess,5,Bacteria,433933,1,,Few
0,BF406,Mycoplasma hominis,241.1767337,120.5883669,0.903631285,647,TP,BF11fixed,2.079890176,Peri-graft Fluid Swab,8,Bacteria,2682680,1,,Numerous
0,BF409,Streptococcus pyogenes,12.793608,6.396804001,0.370901639,181,TP,BF11fixed,2.079890176,Peritoneal Fluid,8,Bacteria,14147690,1,,Negative
